"Sample.ID","Max.Em.370","FI","HIX","Freshness"
"COMBCORBBWMO1",110,-1.188,-0.98,-0.882
"SMPLHLDERCORBBWMO1",118831.015216295,1.003,0.98,0.856
"SMPLHLDERCORBBWMO110x",1248098.76532981,0.908,0.66,1.028
"SMPLHLDERCORBBWMO120x",1169373.47295624,0.897,0.62,1.039
"SMPLHLDERCORBBWMO1181x",465688.156241354,1.042,1.33,0.779
"SMPLHLDERCORBBWMO118110x",1233067.5293814,0.937,0.73,0.992
"SMPLHLDERCORBBWMO118120x",1220301.38245573,0.92,0.67,1.015
"SMPLHLDERCORBBWMO118140x",1236793.04076149,0.911,0.67,1.02
"NaCO3CORBBWMO1",-414899.008689859,0.882,0.6,1.122
"NaCO3CORBBWMO110X",714368.741423656,0.869,0.57,1.142
"NaCO3CORBBWMO120X",635643.449050086,0.87,0.59,1.143
"NaCO3CORBBWMO1181",-68041.8676648,0.859,0.57,1.155
"NaCO3CORBBWMO118110X",699337.505475246,0.81,0.51,1.217
"NaCO3CORBBWMO118120X",686571.358549576,0.849,0.56,1.168
"NaCO3CORBBWMO118140X",703063.016855336,0.87,0.58,1.144
"COMBCORBBWMO1",-251414.708599309,0.921,1.18,0.991
"COMBCORBBWMO110X",23582.495998389,0.996,-1.21,-3.181
"COMBCORBBWMO120X",180503.96627262,0.555,-0.01,1.234
"COMBCORBBWMO1181",-72270.4050622769,0.815,0.87,1.177
"COMBCORBBWMO118110X",273504.30404252,0.952,0.55,0.997
"COMBCORBBWMO118120X",261137.347942081,0.919,0.44,1.045
"COMBCORBBWMO118140X",109701.055027635,0.861,0.12,1.108
"COMBNaCO3BBWMO1",-251414.708599309,0.921,1.18,0.991
"COMBNaCO3BBWMO110X",23582.495998389,0.996,-1.21,-3.181
"COMBNaCO3BBWMO120X",180503.96627262,0.555,-0.01,1.234
"COMBNaCO3BBWMO1181",-72270.4050622769,0.815,0.87,1.177
"COMBNaCO3BBWMO118110X",273504.30404252,0.952,0.55,0.997
"COMBNaCO3BBWMO118120X",261137.347942081,0.919,0.44,1.045
"COMBNaCO3BBWMO118140X",109701.055027635,0.861,0.12,1.108
"COMBSMPLHLDRBBWM01",-251414.708599309,0.921,1.18,0.991
"COMBSMPLHLDRBBWM010X",23582.495998389,0.996,-1.21,-3.181
"COMBSMPLHLDRBBWM020X",180503.96627262,0.555,-0.01,1.234
"COMBSMPLHLDRBBWM0181",-72270.4050622769,0.815,0.87,1.177
"COMBNKSMPLHLDRBBWM811010X",273504.30404252,0.952,0.55,0.997
"COMBNKSMPLHLDRBBWM812020X",261137.347942081,0.919,0.44,1.045
"COMBNKSMPLHLDRBBWM814040X",109701.055027635,0.861,0.12,1.108
"COMBNaCO3SMPLHLDRBBWMO1",-251414.708599309,0.921,1.18,0.991
"COMBNaCO3SMPLHLDRBBWMO110X",23582.495998389,0.996,-1.21,-3.181
"COMBNaCO3SMPLHLDRBBWMO120X",180503.96627262,0.555,-0.01,1.234
"COMBNaCO3NKSMPLHLDRBBWMO1181",-72270.4050622769,0.815,0.87,1.177
"COMBNaCO3NKSMPLHLDRBBWMO118110X",273504.30404252,0.952,0.55,0.997
"COMBNaCO3NKSMPLHLDRBBWMO118120X",261137.347942081,0.919,0.44,1.045
"COMBNaCO3NKSMPLHLDRBBWMO118140X",109701.055027635,0.861,0.12,1.108
"BBWMO1",118831.015216295,1.003,0.98,0.856
"BBWMO110X",1248098.76532981,0.908,0.66,1.028
"BBWMO120X",1169373.47295624,0.897,0.62,1.039
"BBWMO181",465688.156241354,1.042,1.33,0.779
"BBWMO18110X",1233067.5293814,0.937,0.73,0.992
"BBWMO18120X",1220301.38245573,0.92,0.67,1.015
"BBWMO18140X",1236793.04076149,0.911,0.67,1.02
"BBWMO1",-414899.008689859,0.882,0.6,1.122
"BBWMO110X",714368.741423656,0.869,0.57,1.142
"BBWMO120X",635643.449050086,0.87,0.59,1.143
"BBWMO181",-68041.8676648,0.859,0.57,1.155
"BBWMO18110X",699337.505475246,0.81,0.51,1.217
"BBWMO18120X",686571.358549576,0.849,0.56,1.168
"BBWMO18140X",703063.016855336,0.87,0.58,1.144
"BBWMO1",-251414.708599309,0.921,1.18,0.991
"BBWMO110X",23582.495998389,0.996,-1.21,-3.181
"BBWMO120X",180503.96627262,0.555,-0.01,1.234
"BBWMO181",-72270.4050622769,0.815,0.87,1.177
"BBWMO18110X",273504.30404252,0.952,0.55,0.997
"BBWMO18120X",261137.347942081,0.919,0.44,1.045
"BBWMO18140X",109701.055027635,0.861,0.12,1.108
"BBWMO1",-767506.964594792,0.896,0.71,1.081
"BBWMO110X",-519649.265953914,0.895,0.73,1.078
"BBWMO120X",-499885.060857773,0.898,0.77,1.068
"BBWMO181",-588362.66105776,0.875,0.63,1.126
"BBWMO18110X",-352499.049008576,0.857,0.61,1.147
"BBWMO18120X",-408262.491553001,0.876,0.65,1.121
"BBWMO18140X",-481697.679577056,0.886,0.65,1.109
"BBWMO1",-251497.528724445,0.921,1.18,0.991
"BBWMO110X",23230.2490689759,0.996,-1.22,-3.021
"BBWMO120X",180190.649576426,0.552,-0.01,1.234
